Nombre,Annee,Artiste,Generation,Compagnie,Sexe,Taille,Episode,Numero,Titre,Note_1_Andy,Note_2_Andy,Note_1_Anna,Note_1_Gwenola,Note_1_Laurana,Note_2_Laurana,Note_1_Melyssa,Note_2_Melyssa,Type,Groupe,Video_Youtube,Type_video
1,2014,BTS,3,BigHit Entertainment,Gars,Groupe,1,1,War of hormones,4.0,4.5,8.0,8.0,8.5,9.0,7.0,8.0,B-side,,https://www.youtube.com/watch?v=XQmpVHUi-0A,MV
2,2017,Stray Kids,4,JYP Entertainment,Gars,Groupe,1,2,Hellevator,7.0,8.0,9.5,8.5,9.5,9.5,10.0,10.0,Pre-debut,,https://www.youtube.com/watch?v=AdfIfFGCqgo,MV
3,2018,I-dle,4,CUBE Entertainment,Fille,Groupe,1,3,Latata,4.0,7.5,7.0,5.5,8.0,7.5,6.0,7.0,Debut,,https://www.youtube.com/watch?v=p4RIhcY7V3c,MV
4,2016,Exo,3,SM Entertainment,Gars,Groupe,1,4,Monster,5.5,8.0,9.0,9.0,8.0,8.0,8.0,9.0,Main Track,,https://www.youtube.com/watch?v=KSH-FVVtTf0,MV
5,2023,Ateez,4,KQ Entertainment,Gars,Groupe,1,5,Crazy form,6.0,7.5,6.5,8.5,8.0,8.5,5.5,7.5,B-side,,https://www.youtube.com/watch?v=9t57C7NcjWo,MV
6,2018,Jennie,3,YG Entertainment,Fille,Solo,1,6,Solo,3.0,3.0,4.0,6.0,5.5,5.0,2.0,7.5,Single,BlackPink,https://www.youtube.com/watch?v=b73BI9eUkjM,MV
7,2017,Wanna one,3,YMC Entertainment,Gars,Groupe,1,7,Beautiful,2.0,3.0,10.0,2.5,3.5,4.5,9.0,10.0,Main Track,,https://www.youtube.com/watch?v=xXWyJEo6VgA,MV
8,2021,Bang Chan & Hyunjin,4,JYP Entertainment,Gars,Duo,1,8,Red lights,9.5,10.0,7.0,9.5,8.5,9.0,2.0,5.5,B-side,Stray Kids,https://www.youtube.com/watch?v=k8Y6ZTjmCXs,MV
9,2020,Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,1,9,Scream,10.0,10.0,10.0,5.5,8.5,9.0,10.0,10.0,Main Track,,https://www.youtube.com/watch?v=FKlGHHhTOsQ,MV
10,2016,BTS,3,BigHit Entertainment,Gars,Groupe,1,10,Save me,4.0,5.0,9.5,8.5,7.5,8.5,9.5,10.0,Main Track,,https://www.youtube.com/watch?v=GZjt_sA2eso,MV
11,2023,NCT 127,4,SM Entertainment,Gars,Groupe,1,11,Fact check,5.0,7.0,7.0,7.0,8.0,8.5,7.0,9.0,Main Track,NCT,https://www.youtube.com/watch?v=vGuJuW0bDWA,MV
12,2018,BlackPink,3,YG Entertainment,Fille,Groupe,1,12,Ddu-du-ddu-du,5.0,4.0,5.0,6.5,7.5,8.0,4.0,7.5,Main Track,,https://www.youtube.com/watch?v=IHNzOHi8sJs,MV
13,2016,Agust D,3,BigHit Entertainment,Gars,Solo,1,13,Agust D,2.0,1.0,10.0,10.0,5.0,6.0,4.0,5.5,Single,BTS,https://www.youtube.com/watch?v=3Y_Eiyg4bfk,MV
14,2021,TXT,4,BigHit Entertainment,Gars,Groupe,1,14,Loser=Lover,7.0,10.0,10.0,9.5,8.5,9.0,10.0,10.0,Main Track,,https://www.youtube.com/watch?v=JzODRUBBXpc,MV
15,2020,Hwa Sa,3,RBW,Fille,Solo,1,15,Maria,6.0,9.5,10.0,8.5,8.0,8.5,7.0,10.0,Main Track,Mamamoo,https://www.youtube.com/watch?v=brZRDjFIFJs,MV
16,2015,BTS,3,BigHit Entertainment,Gars,Groupe,1,16,Run,7.0,7.0,8.0,8.5,8.0,9.0,1.0,2.5,Main Track,,https://www.youtube.com/watch?v=wKysONrSmew,MV
17,2021,Itzy,4,JYP Entertainment,Fille,Groupe,1,17,Loco,7.5,6.5,7.0,4.0,8.0,8.5,7.0,10.0,Main Track,,https://www.youtube.com/watch?v=MjCZfZfucEc,MV
18,2021,Enhypen,4,Belift Lab,Gars,Groupe,1,18,Fever,7.0,9.0,10.0,7.5,7.0,8.0,9.5,6.5,B-side,,https://www.youtube.com/watch?v=X7d6Dt17yHk,MV
19,2019,Stray Kids,4,JYP Entertainment,Gars,Groupe,1,19,Miroh,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Main Track,,https://www.youtube.com/watch?v=Dab4EENTW5I,MV
20,2023,Twice,3,JYP Entertainment,Fille,Groupe,1,20,One spark,7.5,6.0,9.0,3.0,1.5,4.0,6.5,10.0,Single,,https://www.youtube.com/watch?v=jCzez_q8si0,MV
21,2021,Seventeen,3,Pledis Entertainment,Gars,Groupe,1,21,Rock with you,10.0,10.0,10.0,5.0,9.5,10.0,10.0,10.0,Main Track,,https://www.youtube.com/watch?v=WpuatuzSDK4,MV
22,2022,Psy & Suga,2,/Null/,Gars,Duo,1,22,That that,2.0,0.0,1.0,8.5,4.0,4.5,7.0,8.5,Single,Psy,https://www.youtube.com/watch?v=8dJyRm2jJ-U,MV
23,2012,BigBang,2,YG Entertainment,Gars,Groupe,2,1,Fantastic baby,2.0,2.0,9.0,5.5,5.5,6.5,10.0,10.0,Main Track,,https://www.youtube.com/watch?v=AAbokV76tkU,MV
24,2023,Aespa,4,SM Entertainment,Fille,Groupe,2,2,Drama,6.0,8.0,6.5,3.5,9.5,10.0,5.5,5.5,Main Track,,https://www.youtube.com/watch?v=D8VEhcPeSlc,MV
25,2023,Seventeen,3,Pledis Entertainment,Gars,Groupe,2,3,Super,6.0,7.5,8.0,8.0,8.5,9.5,1.0,7.0,Main Track,,https://www.youtube.com/watch?v=-GQg25oP0S4,MV
26,2023,Stray Kids,4,JYP Entertainment,Gars,Groupe,2,4,Maniac,10.0,10.0,7.5,8.0,9.0,10.0,8.0,10.0,Main Track,,https://www.youtube.com/watch?v=OvioeS1ZZ7o,MV
27,2022,Le Sserafim,4,Source Music,Fille,Groupe,2,5,Antifragile,5.0,7.0,6.0,1.0,6.0,7.5,1.0,6.5,Main Track,,https://www.youtube.com/watch?v=pyf8cbqyfPs,MV
